datetime,num_transfers,total_volume,mean_transfer,median_transfer,unique_senders,unique_receivers
2024-10-11,141,0.0,0.0,0.0,99,1
2024-10-12,104,0.0,0.0,0.0,74,1
2024-10-13,169,0.0,0.0,0.0,116,1
2024-10-14,174,0.0,0.0,0.0,125,1
2024-10-15,134,0.0,0.0,0.0,93,1
2024-10-16,127,0.0,0.0,0.0,95,1
2024-10-17,205,0.0,0.0,0.0,143,1
2024-10-18,271,0.0,0.0,0.0,172,1
2024-10-19,315,0.0,0.0,0.0,196,1
2024-10-20,277,0.0,0.0,0.0,181,1
2024-10-21,399,0.0,0.0,0.0,246,1
2024-10-22,455,0.0,0.0,0.0,305,1
2024-10-23,428,0.0,0.0,0.0,289,1
2024-10-24,390,0.0,0.0,0.0,265,1
2024-10-25,487,0.0,0.0,0.0,287,1
2024-10-26,658,726.6349,1.1043,0.0,401,1
2024-10-27,928,2.0,0.0022,0.0,541,1
2024-10-28,3791,0.0,0.0,0.0,2716,1
2024-10-29,705,0.0,0.0,0.0,492,1
2024-10-30,873,0.0,0.0,0.0,569,1
2024-10-31,477,0.0,0.0,0.0,337,1
2024-11-01,1126,0.0,0.0,0.0,807,1
2024-11-02,1137,0.0,0.0,0.0,740,1
2024-11-03,811,0.0,0.0,0.0,544,1
2024-11-04,836,0.0,0.0,0.0,549,1
2024-11-05,499,0.0,0.0,0.0,292,1
2024-11-06,444,0.0,0.0,0.0,286,1
2024-11-07,479,0.0,0.0,0.0,285,1
2024-11-08,322,0.0,0.0,0.0,206,1
2024-11-09,377,0.0,0.0,0.0,233,1
