,value,value,to_address
,count,sum,nunique
from_address,,,
0x4d6edc6894e68e828962c2d133f42fcb50fe97fa,1,600.0,1
0xfbecfa6fa6db76a4d2fa2c4801207f11f57a7010,1,126.6349,1
0x3fc39e2c8a40896232d8aad8374fad80cd664326,10,2.0,1
0x000005d416963c43921ad3558cc8f95eea500000,2,0.0,1
0xaa44c4b2a4137a7985933254cdea4552936e28fd,2,0.0,1
0xaa31328193c11d4c859ec6712ed2b015488b9201,1,0.0,1
0xaa34ae6adcec9a7eb69ea9b323670ec2a61cd52c,1,0.0,1
0xaa359d16d17e78110ed186a666e2467290c497f3,2,0.0,1
0xaa3ce647595d62362ecda100d2847aa99d3178d2,1,0.0,1
0xaa586f90ad05616b7aa79cb0a9542472ca98df82,1,0.0,1
