date,transactions,active_addresses,volume,unique_senders,unique_receivers
2024-05-10,116,29,180780.90925899977,17,25
2024-05-10,95,25,336657.81165567477,16,18
2024-05-10,62,20,223957.24568822113,12,15
2024-05-10,63,14,17820.088766512898,8,13
2024-05-10,56,15,498203.6143234388,9,12
2024-05-10,83,22,1847740.4791647675,13,18
2024-05-10,89,24,522730.1078364043,16,20
2024-05-10,92,26,1436593.7947841203,13,21
2024-05-10,51,18,359229.85936531005,10,14
2024-05-10,130,20,2930395.982662703,14,19
2024-05-10,80,16,721797.7059176497,9,15
2024-05-10,138,19,364060.8155332527,13,17
2024-05-10,69,13,40247.78027049946,8,11
2024-05-10,104,21,58790.05173013092,13,17
2024-05-10,117,21,50657.29752696627,14,18
2024-05-10,117,19,69508.30885576802,12,15
2024-05-10,219,31,193132.1994281582,16,28
2024-05-10,135,13,48574.139955719045,9,13
2024-05-10,176,22,70369.85859421191,15,21
2024-05-10,113,13,35087.907059242745,7,13
2024-05-10,75,16,33269.38226216039,10,13
2024-05-11,67,10,11132.734897371158,4,10
2024-05-11,133,16,49833.15843418892,8,15
2024-05-11,161,18,81248.92340771701,13,15
2024-05-11,134,14,29239.17450845172,6,14
2024-05-11,163,29,194503.0827856663,21,24
2024-05-11,192,32,234468.2898557332,23,25
2024-05-11,265,43,632708.854658255,24,40
2024-05-11,229,49,2486830.788963496,26,43
2024-05-11,197,44,3127551.8590928973,23,36
2024-05-11,207,36,1167179.2146428002,20,30
2024-05-11,192,30,437646.76512977766,20,26
2024-05-11,285,51,1245174.316760965,31,46
2024-05-11,145,41,1370639.608424798,31,32
2024-05-11,135,31,544264.1832095854,20,28
2024-05-11,125,22,494628.21584894066,13,20
2024-05-11,112,20,293100.1735776496,12,18
2024-05-11,117,23,216469.86671772084,14,19
2024-05-11,161,32,224379.81262240824,20,26
2024-05-11,170,31,101894.32690870365,21,28
2024-05-11,110,25,134907.499025042,16,22
2024-05-11,139,24,1040072.4977606861,14,20
2024-05-11,152,22,425226.2818905301,15,19
2024-05-11,237,38,198646.26697360215,24,30
2024-05-11,234,26,2675842.2411574726,15,25
2024-05-11,204,32,227701.48586631764,21,28
2024-05-11,132,17,67646.30587322632,9,17
2024-05-11,127,21,450893.9984795935,8,21
2024-05-11,141,25,96039.68464940826,17,23
2024-05-11,167,33,150928.4216101534,21,28
2024-05-11,131,33,58686.3420425867,13,30
2024-05-11,150,25,50218.252947514906,12,22
2024-05-11,214,32,243343.31802850182,20,29
2024-05-11,203,36,451762.8963758888,22,31
2024-05-11,156,27,149145.4020672466,10,25
2024-05-11,236,25,195920.62358082,11,24
2024-05-11,230,25,168819.6022673781,13,24
2024-05-11,253,23,310795.7962226014,16,21
2024-05-11,340,37,3308952.7762072193,28,32
2024-05-11,254,22,361061.87429899414,15,20
2024-05-11,268,22,73431.08887877615,14,21
2024-05-11,213,16,43950.657589852366,10,15
2024-05-11,199,18,626592.6682863521,10,18
2024-05-11,168,19,26197.895379818325,8,19
2024-05-11,245,22,77770.90980259376,12,21
2024-05-11,35,8,1464.4068819892696,3,8
2024-05-12,173,16,40195.93738192558,8,15
2024-05-12,228,18,42026.42182083191,11,16
2024-05-12,156,17,123991.98257328029,9,16
2024-05-12,218,22,58484.24371244679,11,20
2024-05-12,235,19,35758.46150180752,11,19
2024-05-12,273,25,440753.0859631335,13,25
2024-05-12,238,18,36004.97757564619,11,17
2024-05-12,242,20,55686.5625659023,12,20
2024-05-12,224,22,83692.76882783895,12,21
2024-05-12,211,23,161923.2725404409,12,22
2024-05-12,194,20,67440.96282812316,14,17
2024-05-12,200,24,82460.40005631968,15,22
2024-05-12,179,29,116454.01479158923,15,27
2024-05-12,178,33,536318.4180445211,19,25
2024-05-12,166,27,101986.5889009924,18,25
2024-05-12,173,27,390215.3648390635,12,25
2024-05-12,155,27,96659.62068792872,19,24
2024-05-12,114,24,650549.6251688747,12,21
2024-05-12,175,36,553596.0187646087,20,32
2024-05-12,120,20,87605.9077216554,13,16
2024-05-12,165,26,454880.82423992304,16,20
2024-05-12,138,19,5372162.875889103,12,16
2024-05-12,105,23,87176.18591691204,15,19
2024-05-12,104,27,182007.44470048373,15,23
2024-05-12,149,28,194711.163772615,19,25
2024-05-12,117,23,131916.4156768941,11,22
2024-05-12,108,23,53229.43875580636,11,22
2024-05-12,131,24,1024700.6306343451,13,22
2024-05-12,109,24,611621.6274534473,13,23
2024-05-12,125,25,73093.6169860668,13,24
2024-05-12,83,15,66917.17620804312,9,14
2024-05-12,123,19,386532.7312186725,12,17
2024-05-12,212,30,2229472.005137437,17,30
2024-05-12,135,26,173301.46447499885,14,24
2024-05-12,114,19,416662.2343851073,11,19
2024-05-12,83,22,52905.42466079362,12,21
2024-05-12,129,32,423397.8810724132,18,29
2024-05-12,108,21,64321.571156878155,12,20
2024-05-12,107,22,489725.1554466763,13,19
2024-05-12,94,17,22208.647778763218,12,15
2024-05-12,175,19,78768.24902405306,11,17
2024-05-12,126,20,307460.6222860942,12,16
2024-05-12,163,26,2028515.1860444292,15,24
2024-05-12,82,22,587142.057296058,12,20
2024-05-12,57,23,76757.41724315257,10,22
2024-05-12,27,16,18591.15770814293,9,13
2024-05-12,33,11,28289.686971377152,7,11
2024-05-12,8,9,4521.9987220861385,4,8
2024-05-12,22,11,21412.367728347373,5,10
2024-05-12,34,16,46118.41595974637,9,14
2024-05-12,27,10,39950.68693183997,5,9
2024-05-12,26,10,19745.827041181336,5,10
2024-05-12,29,11,55434.691347703694,6,11
2024-05-12,21,10,8810.664308890098,5,9
2024-05-12,44,10,42354.45733552406,5,10
2024-05-12,40,12,24911.16385189605,5,12
2024-05-12,22,12,13925.25498167383,7,11
2024-05-13,21,13,34837.142646031185,6,12
2024-05-13,39,15,1047774.0142700596,8,14
2024-05-13,33,14,87146.7157457523,9,13
2024-05-13,65,27,73194.70515456107,17,25
2024-05-13,53,25,1198698.7390182442,13,22
2024-05-13,36,17,90960.38272419781,9,14
2024-05-13,37,13,79215.31090432809,7,13
2024-05-13,43,12,159219.66305076625,7,11
2024-05-13,84,18,158669.1245532235,10,18
2024-05-13,39,16,105030.33561798112,7,15
2024-05-13,31,10,18257.86980666445,5,10
2024-05-13,60,15,74468.019596617,9,15
2024-05-13,49,16,196557.98204003825,10,14
2024-05-13,31,14,36333.56493065493,7,11
2024-05-13,43,20,1414566.5477882603,13,18
2024-05-13,63,22,453656.6466927173,15,18
2024-05-13,71,22,124994.60919399025,12,21
2024-05-13,54,16,177502.00079804644,11,15
2024-05-13,41,12,22648.42611335119,7,11
2024-05-13,32,17,260086.36794518813,9,13
2024-05-13,96,21,1136110.4720060895,11,21
2024-05-13,95,19,62477.522790483694,10,19
2024-05-13,70,17,151159.70072989486,8,15
2024-05-13,85,24,1372394.4097262127,13,21
2024-05-13,88,18,84741.60938083296,9,16
2024-05-13,142,38,9510274.849210294,20,34
2024-05-13,113,43,1033550.1492494525,21,36
2024-05-13,185,58,4911047.523539066,25,53
2024-05-13,167,51,3659782.496818681,21,46
2024-05-13,107,38,1025271.2671861979,21,31
2024-05-13,88,26,406368.7939783145,11,24
2024-05-13,94,29,733471.9810567392,16,25
2024-05-13,72,30,230053.83580722666,17,25
2024-05-13,110,32,319845.2268139069,14,30
2024-05-13,114,33,1654416.2556831397,19,28
