date,transactions,active_addresses,volume,unique_senders,unique_receivers
2024-05-10,2338,157,10165906.702566706,113,127
2024-05-11,8341,444,25894042.393516265,255,387
2024-05-12,7227,356,19675459.05661443,207,309
2024-05-13,4194,463,40309567.26113534,227,431
2024-05-14,4899,365,23829426.30983534,220,320
2024-05-15,4752,406,30188120.860106148,255,339
2024-05-16,4112,526,29994385.94751623,325,441
2024-05-17,4092,398,27566277.54735346,248,349
2024-05-18,5241,553,38343140.820986725,318,480
2024-05-19,4919,442,35687343.51046915,263,376
2024-05-20,3937,487,26597849.189150993,273,410
2024-05-21,4550,558,29700305.70091899,330,482
2024-05-22,5509,477,26426545.758917663,260,419
2024-05-23,6471,525,51136852.854103945,296,456
2024-05-24,6583,432,26426271.48151823,249,382
2024-05-25,8006,490,39630668.304473095,284,425
2024-05-26,10137,388,41997738.92776284,255,329
2024-05-27,10210,553,65159799.094016925,299,477
2024-05-28,7524,570,94501673.40430331,342,498
2024-05-29,7007,484,36356095.05568862,285,412
2024-05-30,7478,804,65376791.93068851,375,735
2024-05-31,7424,491,44423604.779665776,297,418
2024-06-01,7137,504,41820827.942429855,305,433
2024-06-02,8222,515,31896607.412531454,316,417
2024-06-03,8465,717,42151864.837874986,404,615
2024-06-04,8552,722,55090501.07411595,399,626
2024-06-05,10632,1111,122485798.66871808,570,959
2024-06-06,11133,1246,108833925.34430459,711,1030
2024-06-07,9698,1195,101842599.23700671,521,1090
2024-06-08,9661,850,67925171.76292425,427,749
2024-06-09,10015,626,63547889.5785577,377,524
2024-06-10,8837,584,35653105.56023864,354,481
2024-06-11,5987,649,62855424.602812275,379,562
2024-06-12,6397,530,53733595.41751986,327,461
2024-06-13,6763,620,79236384.76179506,320,553
2024-06-14,5586,407,32145633.33603358,258,334
2024-06-15,4601,409,19540551.13567662,272,348
2024-06-16,5305,361,24031451.323554132,234,306
2024-06-17,5369,436,69025157.91044803,268,367
2024-06-18,4187,516,85865543.35553983,296,451
2024-06-19,4404,363,13743947.064221976,218,310
2024-06-20,3925,364,27676605.41716772,233,316
2024-06-21,5955,420,39403096.945903845,276,366
2024-06-22,10197,358,12818980.83755577,235,304
2024-06-23,9389,378,21849808.2421379,252,321
2024-06-24,6818,435,27059900.59144831,271,370
2024-06-25,8174,387,21642813.294754654,260,314
2024-06-26,13305,274,10984902.850989418,172,240
2024-06-27,13602,292,22063513.35190883,202,258
2024-06-28,14641,367,38559260.499451436,226,320
2024-06-29,13921,307,14773425.942805275,208,266
2024-06-30,12643,358,20423058.047739834,235,312
2024-07-01,10528,377,27911404.37406348,249,315
2024-07-02,12528,292,26760743.18814384,215,244
2024-07-03,10152,418,20335169.413703863,244,359
2024-07-04,9248,450,48359742.38052908,295,379
2024-07-05,5866,480,46483919.63797143,279,421
2024-07-06,8130,357,48571960.197513334,210,323
2024-07-07,6891,346,36794341.83574518,226,300
2024-07-08,6080,314,24562271.79506303,206,270
2024-07-09,5362,414,41500082.32775815,262,353
2024-07-10,5875,382,25605935.197814263,243,318
2024-07-11,5061,335,11338727.901643144,207,292
2024-07-12,7979,441,27389294.274778597,243,380
2024-07-13,13046,744,49703560.6712423,370,644
2024-07-14,16860,693,83405757.2396626,445,564
2024-07-15,19722,1047,68577088.23413408,622,872
2024-07-16,9963,711,47393993.427627146,428,587
2024-07-17,15754,1831,270560014.5416269,1548,1225
2024-07-18,11196,882,49601882.90177177,656,665
